,node,x,z,y,r2,class
0,a1,-1.345,5.22,2.19,1.0,class0
1,a10,-1.345,3.22,1.4,0.9761825575183897,class2
2,a11,-1.345,3.22,0.83,0.7258209348892115,class2
3,a12,-1.345,3.22,0.34,0.8414150124044553,class3
4,a13,-1.345,2.22,1.9,0.9996783969218288,class3
5,a14,-1.345,2.22,1.4,0.9987932451365242,class3
6,a15,-1.345,2.22,0.83,0.8929850504626274,class3
7,a16,-1.345,2.22,0.34,0.9891558340048114,class4
8,a17,-1.345,1.22,1.9,0.9860937178544187,class4
9,a18,-1.345,1.22,1.4,0.9884775917787854,class4
10,a19,-1.345,1.22,0.83,0.9910374385055066,class4
11,a2,-1.345,5.22,1.57,0.8529596755725251,class1
12,a20,-1.345,1.22,0.34,0.8749073485361925,class4
13,a21,-1.345,0.22,1.9,0.7952151113836714,class5
14,a22,-1.345,0.22,1.4,0.7289236511010311,class5
15,a23,-1.345,0.22,0.83,0.9646450540465445,class5
16,a24,-1.345,0.22,0.34,0.7847246368411548,class5
17,a3,-1.345,5.22,1.05,0.878560539938755,class1
18,a4,-1.345,5.22,0.34,0.840577350818438,class2
19,a5,-1.345,4.22,1.9,0.9087812291650312,class1
20,a6,-1.345,4.22,1.4,0.9242621425101203,class1
21,a7,-1.345,4.22,0.83,0.9866466822931388,class2
22,a8,-1.345,4.22,0.34,0.9179144512909441,class2
23,a9,-1.345,3.22,1.9,0.9087812291650312,class2
24,b1,-0.6211623,5.22,2.19,0.8618455144885571,class1
25,b12,-0.6211623,3.22,0.34,0.9778397861809566,class3
26,b13,-0.6211623,2.22,1.9,0.9991684312348017,class3
27,b16,-0.6211623,2.22,0.34,0.996336417906974,class4
28,b17,-0.6211623,1.22,1.9,0.9353326025162148,class4
29,b19,-0.6211623,1.22,0.83,0.7531352783069991,class4
30,b2,-0.6211623,5.22,1.57,0.8236987636901401,class1
31,b20,-0.6211623,1.22,0.34,0.9994654289423546,class4
32,b21,-0.6211623,0.22,1.9,0.7204701922207151,class6
33,b22,-0.6211623,0.22,1.4,0.948931176491949,class5
34,b23,-0.6211623,0.22,0.83,0.9945761566198532,class5
35,b24,-0.6211623,0.22,0.34,0.8216195869394074,class5
36,b3,-0.6211623,5.22,1.05,0.9063163238567624,class1
37,b4,-0.6211623,5.22,0.34,0.7866246784641553,class2
38,b5,-0.6211623,4.22,1.9,0.9989186547865059,class1
39,b7,-0.6211623,4.22,0.83,0.9988412599011152,class2
40,b8,-0.6211623,4.22,0.34,0.9806235570370625,class2
41,b9,-0.6211623,3.22,1.9,0.9994594931549594,class2
42,c1,-2.2,5.22,2.19,0.7498123667840573,class1
43,c11,-2.2,3.22,0.83,0.8357610158133156,class3
44,c12,-2.2,3.22,0.34,0.997532818084344,class3
45,c13,-2.2,2.22,1.9,0.9985853748960227,class3
46,c15,-2.2,2.22,0.83,0.9927498026754011,class3
47,c16,-2.2,2.22,0.34,0.9371855324030867,class4
48,c17,-2.2,1.22,1.9,0.9990007814298105,class4
49,c19,-2.2,1.22,0.83,0.9949051318844719,class4
50,c2,-2.2,5.22,1.57,0.8292963269456184,class1
51,c20,-2.2,1.22,0.34,0.7113111905162358,class4
52,c21,-2.2,0.22,1.9,0.9675691588833158,class5
53,c22,-2.2,0.22,1.4,0.965400640625517,class5
54,c23,-2.2,0.22,0.83,0.6987720396542046,class5
55,c24,-2.2,0.22,0.34,0.9929882187115451,class5
56,c3,-2.2,5.22,1.05,0.9814062202875163,class1
57,c4,-2.2,5.22,0.34,0.779517926822153,class2
58,c5,-2.2,4.22,1.9,0.9952674842725138,class1
59,c7,-2.2,4.22,0.83,0.969713072237322,class2
60,c8,-2.2,4.22,0.34,0.8983667501109988,class2
61,c9,-2.2,3.22,1.9,0.9953678109478609,class2
62,eject_node,-0.5219719,0.2267139,2.213847,0.9989532447314969,class6
63,return_node,-1.2821,0.7361431,2.213847,0.9867492065860097,class6
